SYMBOL,FROM_DATE,TO_DATE,VOL_D1,VOL_D2,VOL_D3,VOL_D4,AVG_BODY,TOTAL_BODY
KTKBANK,2026-03-02,2026-03-06,3980042,5306661,9859905,10374317,5.55,22.18
MRPL,2026-03-02,2026-03-06,6543818,13057930,20844935,34921630,3.22,12.88
