SYMBOL,FROM_DATE,TO_DATE,VOL_LAST,AVG_VOL_PREV_3,TOTAL_BODY
BAJAJ-AUTO,2026-03-02,2026-03-06,386552,316910,352.5
UBL,2026-03-02,2026-03-06,866202,85842,221.1
SRF,2026-03-02,2026-03-06,371737,350175,144.6
ASTRAL,2026-03-02,2026-03-06,1096077,547648,126.4
ADANIENSOL,2026-03-02,2026-03-06,1529030,1382579,50.4
KTKBANK,2026-03-02,2026-03-06,10374317,6382202,22.18
MRPL,2026-03-02,2026-03-06,34921630,13482227,12.88
