SYMBOL,DATE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
BAJAJFINSV,2026-03-06,EQ,1908.9,1908.9,1865.0,1868.9,1870.4,1911.8,2267317,4252184990.6,87906,INE918I01026
BAJAJHLDNG,2026-03-06,EQ,10600.0,10791.0,10543.0,10560.0,10561.0,10663.0,29688,314790589.0,6910,INE118A01012
BAJFINANCE,2026-03-06,EQ,960.0,961.5,946.6,950.2,951.7,962.4,6560051,6254527777.8,111836,INE296A01032
BALKRISIND,2026-03-06,EQ,2280.0,2283.4,2230.0,2249.7,2271.0,2308.6,77512,175452703.5,18300,INE787D01026
BALRAMCHIN,2026-03-06,EQ,488.05,493.45,479.05,480.95,481.0,490.65,636093,306819647.95,19658,INE119A01028
BANDHANBNK,2026-03-06,EQ,185.5,185.89,182.02,183.03,183.0,185.03,8295229,1526301926.11,62772,INE545U01014
BANKBARODA,2026-03-06,EQ,299.0,299.6,293.95,295.35,295.0,301.85,9115653,2706387649.8,65876,INE028A01039
BANKINDIA,2026-03-06,EQ,163.5,164.21,159.13,159.58,159.39,164.18,7458169,1208752062.46,45303,INE084A01016
BATAINDIA,2026-03-06,EQ,739.5,752.05,738.8,743.75,745.0,743.2,118373,88147988.05,12541,INE176A01028
BDL,2026-03-06,EQ,1281.3,1374.9,1276.1,1356.7,1355.0,1280.6,5023734,6790742124.3,122336,INE171Z01026
BEL,2026-03-06,EQ,462.0,473.45,460.35,468.45,469.6,460.0,28154230,13217400042.1,248841,INE263A01024
BEML,2026-03-06,EQ,1631.0,1715.0,1631.0,1653.5,1657.0,1629.5,566658,953684688.7,44965,INE258A01024
BERGEPAINT,2026-03-06,EQ,434.0,444.0,429.05,440.3,438.05,434.8,350669,152672387.1,30618,INE463A01038
BHARATFORG,2026-03-06,EQ,1894.9,1935.5,1879.9,1923.9,1915.0,1898.4,1711572,3286519630.1,49130,INE465A01025
